City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,puerto madero,14.7208,-92.4215,25.11,100,40,2.57,MX,1697336582
199,cambria,35.5641,-121.0808,22.41,88,44,0.89,US,1697336582
200,aasiaat,68.7098,-52.8699,-4.05,87,100,2.05,GL,1697336582
201,ixtapa,20.7,-105.2,28.57,84,75,1.03,MX,1697336292
202,al bardiyah,31.7561,25.0865,20.84,75,0,4.31,LY,1697336582
203,aykhal,66.0,111.5,-11.07,92,43,0.89,RU,1697336583
204,tianshui,34.5439,105.6897,14.3,51,0,1.39,CN,1697336583
205,jamestown,42.097,-79.2353,8.34,94,100,3.09,US,1697336386
206,arteche,12.2645,125.4048,29.18,73,20,1.9,PH,1697336583
207,san nicolas,18.1725,120.5953,29.95,84,75,2.06,PH,1697336584
208,nombre de dios,23.85,-104.2333,22.75,61,52,2.64,MX,1697336584
209,tomatlan,19.9333,-105.25,25.68,93,27,0.98,MX,1697336432
210,itigi,-5.7,34.4833,21.56,57,100,4.28,TZ,1697336584
211,kingston,17.997,-76.7936,26.25,94,35,0.86,JM,1697336420
212,nadi,-17.8,177.4167,29,70,20,6.69,FJ,1697336585
213,darwin,-12.4611,130.8418,35.99,30,0,3.6,AU,1697336402
214,kloulklubed,7.0419,134.2556,31.28,78,20,2.6,PW,1697336585
215,tofol,5.3248,163.0078,30.88,70,75,4.63,FM,1697336585
216,lupane,-18.9315,27.807,20.7,67,85,0.73,ZW,1697336586
217,tralee,52.2704,-9.7026,8.05,81,99,2.27,IE,1697336586
218,sept-iles,50.2001,-66.3821,10.29,94,100,6.17,CA,1697336586
219,kupang,-10.1667,123.5833,34.32,40,20,9.26,ID,1697336586
220,vlore,40.4667,19.4897,19.5,50,7,1.91,AL,1697336587
221,bredasdorp,-34.5322,20.0403,14.55,75,87,6.09,ZA,1697336587
222,kataysk,56.289,62.5841,1.87,86,88,3.08,RU,1697336587
223,sal rei,16.1833,-22.9167,27.91,77,100,2.22,CV,1697336588
224,walvis bay,-22.9575,14.5053,13.94,91,0,4.81,NA,1697336389
225,funafuti,-8.5243,179.1942,32,79,75,6.69,TV,1697336588
226,qaqortoq,60.7167,-46.0333,3.41,66,6,1.45,GL,1697336588
227,neryungri,56.6709,124.6491,-5.42,68,16,5.9,RU,1697336589
228,bubaque,11.2833,-15.8333,28.8,80,100,3.99,GW,1697336589
229,geraldton,-28.7667,114.6,36.23,9,0,6.69,AU,1697336589
230,soio,-6.1349,12.3689,24.75,83,100,3.99,AO,1697336589
231,orsa,54.5153,30.4053,10.29,77,100,3.65,BY,1697336590
232,kapuskasing,49.4169,-82.4331,6.05,87,100,6.17,CA,1697336590
233,kailua-kona,19.6406,-155.9956,27.98,78,40,4.12,US,1697336590
234,san clemente,33.427,-117.612,24.71,76,0,4.92,US,1697336590
235,fortuna,40.5982,-124.1573,14.81,96,0,0,US,1697336591
236,bandjoun,5.3788,10.4182,15.66,94,100,1.16,CM,1697336591
237,lompoc,34.6391,-120.4579,18.9,86,0,6.26,US,1697336591
238,al hamul,31.3115,31.1477,19.73,71,0,3.21,EG,1697336591
239,katima mulilo,-17.5,24.2667,24.92,52,99,3.37,NA,1697336592
240,maun,-19.9833,23.4167,25.45,38,100,1.57,BW,1697336592
241,ribeira brava,32.65,-17.0667,29.28,38,100,0.08,PT,1697336592
242,conception bay south,47.4999,-52.9981,12.18,99,9,4.27,CA,1697336592
243,nar'yan-mar,67.6713,53.087,-2.16,93,78,1.79,RU,1697336593
244,alice springs,-23.7,133.8833,27.75,11,0,5.14,AU,1697336541
245,sosnovo-ozerskoye,52.5249,111.5418,1.76,54,18,3.75,RU,1697336593
